Analyzer:;PQM-711 (BS0109);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;   ;   ;   ;   ;   ;17.10.2019;12:30:00.141;1,58;1,52;1,43;235,9;0,0375;0,3;0,025;2,8878;0,1125;2,2253;0,025;0,2125;0,025;0,2625;0,0625;0,5626;0,0375;0,125;0,0875;0,275;0,075;0,15;0,0375;0,1;0,025;0,05;0,0125;0,0375;0,0125;0,0125;0,025;0,05;0,0125;0,025;0,0125;0,0125;0,0125;0,025;0,0125;0,025;0,0125;0,0125;0,0125;0,0125;0;0,0125;0;0,0125;0;0,0125;0;0,0125;0;236,26;0,05;0,325;0,075;2,7503;0,05;2,1627;0,0625;0,2625;0,0375;0,3;0,05;0,35;0,05;0,125;0,05;0,3375;0,05;0,15;0,0625;0,1625;0,0375;0,075;0,025;0,075;0,025;0,075;0,025;0,0375;0,0125;0,025;0,0125;0,025;0,0125;0,05;0,0125;0,0125;0,0125;0,0125;0,0125;0,025;0,0125;0,025;0,0125;0,0125;0,0125;0,0125;0;0,0125;0;236,23;0,05;0,2125;0,075;2,4878;0,0375;2,1127;0,0375;0,275;0,0375;0,3125;0,0625;0,3875;0,075;0,0625;0,0625;0,35;0,0375;0,35;0,0625;0,3;0,05;0,0875;0,0375;0,1125;0,025;0,0625;0,0125;0,0875;0,0125;0,0125;0,025;0,0375;0,025;0,0625;0,0125;0,025;0,0125;0,025;0,0125;0,025;0,0125;0,025;0,0125;0,0125;0,0125;0,0125;0;0,025;0,0125
;;   ;   ;   ;x;   ;17.10.2019;12:40:00.173;1,63;1,52;1,49;236,34;0,0376;0,3505;0,0376;3,0044;0,1127;2,2909;0,0376;0,1753;0,025;0,338;0,0626;0,4006;0,0376;0,0751;0,0876;0,1753;0,0751;0,1252;0,0376;0,1001;0,025;0,0626;0,0125;0,0376;0,0125;0,0125;0,025;0,0376;0,0125;0,025;0,0125;0,025;0,0125;0,025;0,0125;0,025;0,0125;0,0125;0,0125;0,025;0;0,0125;0;0,0125;0;0,0125;0;0,0125;0;236,64;0,0626;0,2629;0,0876;2,7916;0,0376;2,1532;0,0626;0,2504;0,0376;0,3881;0,0501;0,1878;0,0376;0,1502;0,0376;0,2504;0,0501;0,2003;0,0501;0,1627;0,025;0,0751;0,0125;0,0751;0,025;0,0751;0,025;0,025;0,0125;0,025;0,0125;0,0125;0,0125;0,0376;0,0125;0,0125;0,0125;0,0125;0,0125;0,025;0,0125;0,0125;0,0125;0,0125;0;0,0125;0;0,0125;0;236,61;0,0376;0,2003;0,0751;2,5913;0,0376;2,2158;0,0376;0,3004;0,0501;0,4757;0,0626;0,2504;0,0626;0,0626;0,0501;0,2003;0,0501;0,2629;0,0751;0,313;0,0501;0,1127;0,0376;0,1001;0,025;0,0626;0,0125;0,0501;0,025;0,025;0,025;0,0376;0,0125;0,0501;0,0125;0,025;0,0125;0,0125;0,0125;0,025;0,0125;0,0125;0,0125;0,0125;0,0125;0,0125;0;0,0125;0
;;x;x;x;x;x;17.10.2019;12:50:00.128;1,53;1,45;1,42;236,04;0,0376;0,3255;0,0376;2,8419;0,1002;2,1033;0,0376;0,1628;0,025;0,313;0,0501;0,3881;0,0125;0,1127;0,0751;0,2504;0,025;0,2003;0,0501;0,0876;0,025;0,0501;0,025;0,0501;0,0125;0,0125;0,025;0,025;0,0125;0,025;0,0125;0,0125;0,0125;0,0125;0,0125;0,025;0,0125;0;0,0125;0,0125;0;0,0125;0;0;0;0,0125;0;0,0125;0;236,62;0,0501;0,3255;0,0876;2,6666;0,0501;2,0031;0,0751;0,2379;0,025;0,3881;0,025;0,1628;0,025;0,1252;0,0501;0,2754;0,0376;0,3005;0,0376;0,1502;0,0125;0,1252;0,0125;0,0501;0,025;0,0876;0,025;0,025;0,0125;0,025;0,0125;0,025;0,0125;0,0376;0,0125;0,0125;0,0125;0,0125;0,0125;0,025;0,0125;0,0125;0,0125;0,0125;0,0125;0,0125;0;0,0125;0;236,52;0,025;0,2504;0,0626;2,554;0,025;2,0407;0,0501;0,313;0,025;0,4757;0,025;0,2128;0,025;0,0501;0,0376;0,2003;0,025;0,1753;0,0376;0,2128;0,0376;0,1377;0,025;0,0751;0,025;0,0751;0,0125;0,0501;0,0125;0,0125;0,0125;0,0376;0,0125;0,0501;0,0125;0,0125;0,0125;0,025;0,0125;0,025;0,0125;0,025;0,0125;0,0125;0;0,0125;0;0,025;0
;;   ;   ;   ;   ;   ;17.10.2019;13:00:00.125;1,52;1,46;1,42;235,86;0,025;0,3625;0,025;2,8373;0,1;2,0873;0,0375;0,1375;0,025;0,325;0,05;0,425;0,0125;0,1125;0,075;0,225;0,025;0,1625;0,0375;0,1;0,025;0,05;0,025;0,05;0,0125;0,025;0,025;0,025;0,0125;0,025;0,0125;0,0125;0,0125;0,0125;0,0125;0,025;0,0125;0,0125;0,0125;0,0125;0;0,0125;0;0,0125;0;0,0125;0;0,0125;0;236,31;0,05;0,3625;0,1;2,6623;0,05;2,0373;0,075;0,2375;0,025;0,4875;0,025;0,175;0,025;0,1125;0,0375;0,225;0,025;0,2875;0,025;0,125;0,025;0,0875;0,0125;0,0625;0,025;0,075;0,025;0,0375;0,0125;0,025;0,0125;0,025;0,0125;0,0375;0,0125;0,0125;0,0125;0,0125;0,0125;0,025;0,0125;0,0125;0,0125;0,0125;0,0125;0,0125;0;0,0125;0;236,31;0,025;0,3;0,0625;2,5373;0,025;2,0498;0,05;0,325;0,025;0,525;0,025;0,225;0,0375;0,05;0,0375;0,175;0,025;0,225;0,0375;0,2375;0,0375;0,0875;0,025;0,075;0,025;0,075;0,025;0,05;0,0125;0,025;0,0125;0,025;0,0125;0,0375;0,0125;0,025;0,0125;0,025;0,0125;0,025;0,0125;0,025;0,0125;0,0125;0;0,0125;0;0,0125;0
;;x;   ;   ;   ;   ;17.10.2019;13:10:00.046;1,57;1,49;1,42;235,92;0,0375;0,3126;0,025;3,0262;0,1;2,0133;0,0375;0,1626;0,025;0,3251;0,05;0,4627;0,025;0,1751;0,0875;0,1751;0,0625;0,1251;0,0375;0,0875;0,025;0,05;0,0125;0,05;0,0125;0,025;0,025;0,025;0,0125;0,025;0,0125;0,0125;0,0125;0,0125;0,0125;0,025;0,0125;0,0125;0,0125;0,0125;0;0,0125;0;0,0125;0;0,0125;0;0;0;236,31;0,0625;0,3501;0,075;2,8387;0,05;1,9133;0,0625;0,2376;0,0375;0,4502;0,0375;0,2126;0,025;0,1251;0,0375;0,2626;0,0375;0,2126;0,0375;0,1626;0,0375;0,1;0,0125;0,075;0,025;0,075;0,025;0,025;0,025;0,025;0,0125;0,025;0,0125;0,0375;0,0125;0,0125;0,0125;0,0125;0,0125;0,0375;0,0125;0,0125;0,0125;0,0125;0;0,0125;0,0125;0,0125;0;236,37;0,0375;0,2501;0,0625;2,6511;0,0375;1,9133;0,0375;0,3251;0,0375;0,5377;0,05;0,2626;0,0625;0,05;0,05;0,1125;0,0375;0,1251;0,05;0,1376;0,05;0,1;0,025;0,05;0,025;0,0375;0,0125;0,025;0,0125;0,0375;0,025;0,0125;0,0125;0,025;0,0125;0,025;0,0125;0,0125;0,0125;0,0375;0,0125;0,0125;0,0125;0,0125;0,0125;0,0125;0;0,0125;0
;;   ;   ;   ;   ;   ;17.10.2019;13:20:00.183;1,57;1,48;1,46;236,24;0,0376;0,2879;0,0376;3,0546;0,1127;1,9905;0,0376;0,1127;0,0376;0,2379;0,0501;0,363;0,025;0,1878;0,0876;0,1878;0,0501;0,1502;0,0376;0,1127;0,025;0,0626;0,025;0,0626;0,0125;0,025;0,025;0,0125;0,0125;0,025;0,0125;0,0125;0,0125;0,0125;0,0125;0,025;0,0125;0,0125;0,0125;0,0125;0;0,0125;0;0,0125;0;0,0125;0;0;0;236,66;0,0501;0,3255;0,0751;2,8668;0,0501;1,9029;0,0626;0,2253;0,0376;0,3756;0,0376;0,1502;0,0376;0,1502;0,0376;0,2253;0,0376;0,1878;0,0376;0,1502;0,0376;0,1252;0,025;0,0751;0,025;0,0626;0,025;0,0376;0,025;0,025;0,0125;0,025;0,0125;0,0376;0,0125;0,0125;0,0125;0,0125;0,0125;0,0376;0,0125;0,0125;0,0125;0,0125;0,0125;0,0125;0;0,0125;0;236,61;0,0376;0,2754;0,0626;2,7667;0,025;1,9529;0,0376;0,313;0,025;0,4632;0,0501;0,2128;0,0501;0,0501;0,0501;0,1002;0,0376;0,0876;0,0501;0,1377;0,0626;0,1002;0,0376;0,0501;0,025;0,0626;0,0125;0,025;0,0125;0,0501;0,025;0,0125;0,0125;0,0376;0,0125;0,0376;0,0125;0,0125;0,0125;0,025;0,0125;0,025;0,0125;0,0125;0,0125;0,0125;0;0,0125;0,0125
;;   ;   ;   ;   ;   ;17.10.2019;13:30:00.166;1,59;1,48;1,47;236,77;0,0376;0,2634;0,0376;3,1608;0,1129;1,9441;0,0376;0,1505;0,0502;0,2007;0,0502;0,439;0,0376;0,1756;0,1003;0,2383;0,0502;0,1631;0,0376;0,1129;0,0376;0,0502;0,0251;0,0627;0,0125;0,0251;0,0251;0,0251;0,0125;0,0376;0,0125;0,0125;0,0125;0,0125;0,0125;0,0251;0,0125;0;0,0125;0,0125;0;0,0125;0;0;0;0,0125;0;0,0125;0;237,2;0,0502;0,3261;0,0878;2,8723;0,0502;1,894;0,0627;0,2509;0,0376;0,3261;0,0376;0,2007;0,0376;0,1505;0,0376;0,2759;0,0376;0,1631;0,0502;0,1505;0,0376;0,138;0,0251;0,0627;0,0251;0,0502;0,0251;0,0376;0,0125;0,0251;0,0125;0,0376;0,0125;0,0376;0,0125;0,0251;0,0125;0,0125;0,0125;0,0376;0,0125;0,0125;0;0,0125;0,0125;0,0125;0,0125;0,0125;0,0125;237,05;0,0376;0,301;0,0627;2,8347;0,0251;1,919;0,0376;0,2759;0,0376;0,4139;0,0502;0,2634;0,0627;0,0502;0,0502;0,1505;0,0376;0,1881;0,0502;0,1631;0,0627;0,1254;0,0376;0,0627;0,0251;0,0627;0,0125;0,0251;0,0251;0,0502;0,0251;0,0125;0,0125;0,0376;0,0125;0,0376;0,0125;0,0125;0,0125;0,0251;0,0125;0,0251;0,0125;0,0125;0,0125;0,0125;0,0125;0,0125;0,0125
;;   ;x;x;x;   ;17.10.2019;13:40:00.114;1,53;1,43;1,4;236,56;0,0377;0,2636;0,0377;2,8993;0,113;2,0458;0,0377;0,2134;0,0502;0,3138;0,0502;0,3891;0,0251;0,1004;0,1004;0,1632;0,0502;0,113;0,0377;0,113;0,0377;0,0879;0,0251;0,0753;0,0126;0,0126;0,0126;0,0251;0,0126;0,0251;0,0126;0,0126;0,0126;0,0251;0,0126;0,0251;0,0126;0,0126;0,0126;0,0126;0;0,0126;0;0,0126;0;0,0126;0;0,0126;0;237,18;0,0377;0,3514;0,0879;2,6733;0,0502;1,9705;0,0628;0,251;0,0377;0,3514;0,0251;0,2134;0,0377;0,1255;0,0502;0,2259;0,0377;0,113;0,0377;0,1004;0,0377;0,1883;0,0251;0,0502;0,0251;0,0502;0,0251;0,0377;0,0126;0,0126;0,0126;0,0377;0,0126;0,0377;0,0126;0,0251;0,0126;0,0126;0,0126;0,0377;0,0126;0,0251;0;0,0126;0;0,0126;0,0126;0,0126;0,0126;237,19;0,0377;0,3389;0,0628;2,5729;0,0251;1,9579;0,0377;0,2636;0,0377;0,4267;0,0377;0,251;0,0502;0,0628;0,0628;0,1757;0,0377;0,1004;0,0377;0,1757;0,0753;0,2008;0,0377;0,0753;0,0251;0,0377;0,0126;0,0502;0,0251;0,0377;0,0251;0,0126;0,0126;0,0502;0,0126;0,0377;0,0126;0,0126;0,0126;0,0251;0,0126;0,0251;0,0126;0;0,0126;0,0126;0;0,0126;0,0126
;;   ;   ;   ;   ;   ;17.10.2019;13:50:00.074;1,56;1,43;1,41;237,56;0,0378;0,2897;0,0378;2,8467;0,126;2,1917;0,0252;0,2267;0,0378;0,3527;0,0504;0,4786;0,0252;0,1134;0,1008;0,3527;0,0504;0,1512;0,063;0,1386;0,0378;0,0882;0,0252;0,0756;0,0126;0,0126;0,0252;0,0378;0,0126;0,0252;0,0126;0,0126;0,0126;0,0252;0,0126;0,0252;0,0126;0,0126;0,0126;0,0126;0;0,0126;0;0,0126;0;0,0126;0;0,0126;0;238,09;0,0378;0,3401;0,0882;2,557;0,0378;2,1035;0,0756;0,2519;0,0378;0,3023;0,0378;0,3023;0,0378;0,126;0,0504;0,3023;0,0378;0,126;0,0378;0,0756;0,0252;0,2015;0,0126;0,063;0,0252;0,063;0,0252;0,0504;0,0126;0,0126;0,0126;0,0378;0,0126;0,0504;0,0126;0,0252;0,0126;0,0126;0,0126;0,0378;0,0126;0,0252;0,0126;0,0126;0,0126;0,0126;0,0126;0,0126;0,0126;238,04;0,0252;0,3527;0,0756;2,4814;0,0252;2,0657;0,0504;0,2519;0,0378;0,3401;0,0378;0,3401;0,0504;0,0378;0,0504;0,3653;0,0252;0,1889;0,0378;0,2015;0,0504;0,2645;0,0252;0,0882;0,0252;0,0252;0,0252;0,063;0,0252;0,0504;0,0252;0,0252;0,0126;0,0504;0,0126;0,0504;0,0126;0,0126;0,0126;0,0126;0,0126;0,0252;0,0126;0;0,0126;0,0126;0,0126;0,0126;0,0126
;;   ;   ;   ;   ;x;17.10.2019;14:00:00.055;1,47;1,39;1,34;234,98;0,0374;0,3363;0,0374;2,591;0,1121;2,155;0,0374;0,2242;0,0498;0,2118;0,0498;0,4235;0,0249;0,1246;0,0623;0,3114;0,0623;0,1495;0,0374;0,0997;0,0374;0,1121;0,0249;0,0623;0,0249;0,0249;0,0249;0,0374;0,0125;0,0249;0,0125;0,0249;0,0125;0,0249;0,0125;0,0249;0,0125;0,0125;0,0125;0,0125;0;0,0125;0;0,0125;0;0,0125;0;0,0125;0;235,48;0,0374;0,3239;0,0747;2,4166;0,0374;2,1052;0,0747;0,2865;0,0374;0,1993;0,0374;0,2118;0,0249;0,1246;0,0498;0,274;0,0498;0,1619;0,0374;0,1121;0,0249;0,1868;0,0249;0,0374;0,0374;0,0623;0,0249;0,0374;0,0125;0,0125;0,0125;0,0249;0,0125;0,0374;0,0125;0,0249;0,0125;0,0125;0,0125;0,0374;0,0125;0,0249;0,0125;0,0125;0,0125;0,0249;0,0125;0,0125;0;235,45;0,0249;0,3239;0,0747;2,2796;0,0249;2,0055;0,0498;0,2616;0,0374;0,2491;0,0374;0,2367;0,0249;0,0498;0,0374;0,3986;0,0249;0,1868;0,0374;0,2491;0,0498;0,2616;0,0249;0,0747;0,0249;0,0374;0,0249;0,0623;0,0125;0,0374;0,0249;0,0374;0,0125;0,0498;0,0125;0,0374;0,0125;0,0125;0,0125;0,0249;0,0125;0,0249;0,0125;0,0125;0,0125;0,0125;0;0,0125;0,0125
;;   ;   ;   ;   ;   ;17.10.2019;14:10:00.005;1,46;1,39;1,32;234,54;0,0497;0,3232;0,0373;2,5484;0,1119;2,1382;0,0373;0,2113;0,0497;0,1865;0,0622;0,4475;0,0373;0,0995;0,0622;0,3605;0,0622;0,1119;0,0497;0,1492;0,0249;0,1367;0,0249;0,087;0,0249;0,0249;0,0249;0,0373;0,0124;0,0249;0,0124;0,0249;0,0124;0,0249;0,0124;0,0249;0,0124;0,0124;0,0124;0,0124;0;0,0124;0;0,0124;0;0,0124;0;0,0124;0;235,07;0,0249;0,3356;0,0746;2,362;0,0249;2,1506;0,0622;0,2611;0,0249;0,1865;0,0249;0,2113;0,0249;0,1492;0,0497;0,2486;0,0373;0,1616;0,0249;0,1119;0,0249;0,2486;0,0249;0,0622;0,0249;0,0746;0,0249;0,0373;0,0124;0,0124;0,0124;0,0249;0,0124;0,0373;0,0124;0,0249;0,0124;0,0124;0,0124;0,0373;0,0124;0,0249;0,0124;0,0124;0,0124;0,0124;0,0124;0,0124;0;234,84;0,0249;0,2984;0,0622;2,1879;0,0249;2,0263;0,0497;0,2611;0,0373;0,2611;0,0373;0,2362;0,0373;0,1243;0,0373;0,3978;0,0249;0,174;0,0373;0,1492;0,0497;0,3729;0,0249;0,0622;0,0249;0,0373;0,0249;0,0373;0,0124;0,0497;0,0249;0,0497;0,0124;0,0497;0,0124;0,0373;0,0124;0,0249;0,0124;0,0249;0,0124;0,0249;0,0124;0,0124;0,0124;0,0124;0;0,0124;0,0124
;;   ;   ;   ;x;   ;17.10.2019;14:20:00.118;1,45;1,39;1,29;234,17;0,0248;0,335;0,0372;2,6674;0,1117;1,9726;0,0372;0,1985;0,0372;0,2978;0,0496;0,3846;0,0248;0,0868;0,062;0,2605;0,0496;0,1117;0,0372;0,1117;0,0248;0,0868;0,0248;0,0744;0,0248;0,0248;0,0248;0,0372;0,0124;0,0248;0,0124;0,0248;0,0124;0,0248;0,0124;0,0248;0,0124;0,0124;0,0124;0,0124;0;0,0124;0;0,0124;0;0,0124;0;0,0124;0;234,63;0,0372;0,3474;0,0744;2,5061;0,0248;1,9726;0,0744;0,2605;0,0248;0,335;0,0372;0,1613;0,0248;0,1241;0,0372;0,2109;0,0496;0,2481;0,0248;0,1117;0,0248;0,1737;0,0248;0,0496;0,0248;0,062;0,0248;0,0372;0,0124;0,0248;0,0124;0,0248;0,0124;0,0372;0,0124;0,0248;0,0124;0,0124;0,0124;0,0248;0,0124;0,0124;0,0124;0,0124;0,0124;0,0124;0;0,0124;0;234,37;0,0248;0,2978;0,0744;2,3076;0,0248;1,8238;0,062;0,2605;0,0372;0,3846;0,0248;0,1737;0,0248;0,1117;0,0372;0,3226;0,0248;0,1365;0,0372;0,0993;0,0372;0,2729;0,0248;0,062;0,0248;0,0248;0,0124;0,0248;0,0124;0,0248;0,0124;0,0248;0,0124;0,0496;0,0124;0,0248;0,0124;0,0248;0,0124;0,0372;0,0124;0,0124;0,0124;0,0124;0,0124;0,0124;0;0,0124;0,0124
;;   ;   ;   ;   ;   ;17.10.2019;14:30:00.033;1,54;1,47;1,37;234,16;0,0372;0,4217;0,0372;2,9394;0,124;1,9596;0,0248;0,2108;0,0248;0,3225;0,0496;0,3721;0,0248;0,0868;0,0868;0,1984;0,0372;0,1116;0,0372;0,0868;0,0248;0,062;0,0248;0,062;0,0124;0,0124;0,0124;0,0248;0,0124;0,0248;0,0124;0,0124;0,0124;0,0248;0;0,0248;0,0124;0,0124;0,0124;0,0248;0;0,0124;0;0,0124;0;0,0124;0;0,0124;0;234,56;0,0372;0,3721;0,062;2,7534;0,0248;1,9348;0,062;0,2729;0,0248;0,3597;0,0372;0,1364;0,0248;0,124;0,0496;0,1612;0,0372;0,2605;0,0372;0,1364;0,0248;0,124;0,0248;0,062;0,0248;0,062;0,0248;0,0372;0,0124;0,0248;0,0124;0,0248;0,0124;0,0248;0,0124;0,0248;0,0124;0,0124;0,0124;0,0248;0,0124;0,0124;0,0124;0,0124;0,0124;0,0124;0,0124;0,0124;0;234,08;0,0248;0,2977;0,062;2,5302;0,0248;1,8232;0,0496;0,2232;0,0372;0,4341;0,0372;0,124;0,0248;0,124;0,0372;0,2481;0,0248;0,0868;0,0248;0,124;0,0372;0,2108;0,0248;0,0372;0,0248;0,0248;0,0248;0,0248;0,0124;0,0124;0,0248;0,0248;0,0124;0,0496;0,0124;0,0248;0,0124;0,0248;0,0124;0,0248;0,0124;0,0124;0,0124;0,0124;0,0124;0,0248;0,0124;0,0124;0,0124
;;   ;   ;   ;   ;   ;17.10.2019;14:40:00.056;1,43;1,43;1,31;233,92;0,0372;0,3717;0,0248;2,6268;0,0991;1,9577;0,0372;0,2478;0,0372;0,1859;0,0372;0,3345;0,0248;0,0991;0,062;0,2726;0,0496;0,1982;0,0248;0,1115;0,0248;0,0743;0,0124;0,0496;0,0124;0,0248;0,0124;0,0496;0,0124;0,0124;0,0124;0,0248;0,0124;0,0248;0;0,0248;0;0,0124;0,0124;0,0124;0;0,0248;0;0,0124;0;0,0124;0;0,0124;0;234,19;0,0372;0,3593;0,062;2,5896;0,0372;1,9949;0,062;0,2974;0,0248;0,2726;0,0372;0,1239;0,0372;0,1363;0,0372;0,1735;0,0372;0,3222;0,0372;0,0991;0,0248;0,1611;0,0248;0,0743;0,0248;0,0743;0,0248;0,0372;0,0124;0,0248;0,0124;0,0248;0,0124;0,0372;0,0124;0,0248;0,0124;0,0124;0,0124;0,0248;0,0124;0,0124;0;0,0124;0;0,0124;0;0,0124;0;233,98;0,0372;0,2726;0,062;2,317;0,0248;1,9081;0,0496;0,1859;0,0372;0,3717;0,0248;0,1611;0,0248;0,1487;0,0372;0,2354;0,0248;0,0991;0,0372;0,1363;0,0372;0,1859;0,0248;0,0743;0,0248;0,0248;0,0248;0,0124;0,0124;0,0124;0,0124;0,0248;0,0124;0,0372;0,0124;0,0248;0,0124;0,0248;0,0124;0,0248;0,0124;0,0248;0,0124;0,0124;0,0124;0,0124;0;0,0124;0,0124
;;   ;   ;   ;   ;   ;17.10.2019;14:50:00.188;1,39;1,42;1,32;233,19;0,0371;0,3709;0,0247;2,646;0,0866;1,7434;0,0495;0,1978;0,0495;0,1978;0,0371;0,1855;0,0247;0,0742;0,0371;0,3091;0,0495;0,2349;0,0247;0,0742;0,0247;0,0989;0,0124;0,0618;0,0124;0,0124;0,0124;0,0247;0,0124;0,0124;0,0124;0,0124;0,0124;0,0247;0;0,0124;0;0,0124;0,0124;0,0124;0;0,0124;0;0,0124;0;0;0;0;0;233,66;0,0247;0,3462;0,0618;2,6954;0,0371;1,8052;0,0742;0,3338;0,0247;0,2844;0,0371;0,0742;0,0247;0,1607;0,0371;0,1113;0,0495;0,3338;0,0371;0,136;0,0124;0,1731;0,0247;0,0989;0,0247;0,0742;0,0124;0,0371;0,0124;0,0247;0,0124;0,0371;0,0124;0,0247;0,0124;0,0124;0,0124;0,0124;0,0124;0,0247;0,0124;0,0124;0;0,0124;0;0,0124;0;0,0124;0;233,54;0,0371;0,2226;0,0618;2,4605;0,0247;1,7434;0,0495;0,1731;0,0371;0,408;0,0371;0,1607;0,0247;0,1113;0,0371;0,1978;0,0247;0,0742;0,0371;0,136;0,0371;0,136;0,0247;0,0495;0,0247;0,0247;0,0124;0,0124;0,0124;0,0124;0,0124;0,0124;0,0124;0,0371;0,0124;0,0247;0,0124;0,0124;0,0124;0,0247;0,0124;0,0247;0,0124;0,0124;0,0124;0,0124;0;0,0124;0,0124
